Collected,Message Time Stamp,Source ID,Source ID Description,NDOT Link ID,Route,From Route,To Route,Link Description,RM ID,Lane Number,Vehicles,Violations,AQD Presence,HOV,Staus
06/18/2012 11:03,06/18/2012 11:08,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,14,0,2,0,1
06/18/2012 11:03,06/18/2012 11:08,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:03,06/18/2012 11:08,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,15,0,0,0,1
06/18/2012 11:03,06/18/2012 11:08,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:08,06/18/2012 11:14,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,19,0,2,0,1
06/18/2012 11:08,06/18/2012 11:14,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:08,06/18/2012 11:14,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:08,06/18/2012 11:14,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,31,0,0,0,1
06/18/2012 11:14,06/18/2012 11:20,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:14,06/18/2012 11:20,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,24,0,0,0,1
06/18/2012 11:14,06/18/2012 11:20,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,11,0,4,0,1
06/18/2012 11:14,06/18/2012 11:20,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:20,06/18/2012 11:25,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,25,0,0,0,1
06/18/2012 11:20,06/18/2012 11:25,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:20,06/18/2012 11:25,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:20,06/18/2012 11:25,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,16,0,4,0,1
06/18/2012 11:25,06/18/2012 11:31,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,16,0,0,0,1
06/18/2012 11:25,06/18/2012 11:31,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:25,06/18/2012 11:31,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:25,06/18/2012 11:31,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,10,0,2,0,1
06/18/2012 11:31,06/18/2012 11:37,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,5,0,2,0,1
06/18/2012 11:31,06/18/2012 11:37,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,16,0,0,0,1
06/18/2012 11:31,06/18/2012 11:37,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:31,06/18/2012 11:37,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:37,06/18/2012 11:43,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:37,06/18/2012 11:44,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:37,06/18/2012 11:43,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,30,0,0,0,1
06/18/2012 11:37,06/18/2012 11:43,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,25,0,5,0,1
06/18/2012 11:43,06/18/2012 11:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:43,06/18/2012 11:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,23,0,5,0,1
06/18/2012 11:43,06/18/2012 11:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,26,0,0,0,1
06/18/2012 11:43,06/18/2012 11:50,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:50,06/18/2012 11:55,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,20,0,3,0,1
06/18/2012 11:50,06/18/2012 11:55,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,25,0,0,0,1
06/18/2012 11:50,06/18/2012 11:55,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 11:50,06/18/2012 11:55,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:55,06/18/2012 12:01,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,27,0,5,0,1
06/18/2012 11:55,06/18/2012 12:01,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 11:55,06/18/2012 12:01,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,21,0,0,0,1
06/18/2012 11:55,06/18/2012 12:01,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 12:01,06/18/2012 12:07,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 12:01,06/18/2012 12:07,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,23,0,0,0,1
06/18/2012 12:01,06/18/2012 12:07,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,17,0,3,0,1
06/18/2012 12:01,06/18/2012 12:07,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
06/18/2012 12:07,06/18/2012 12:13,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,4,41,0,5,0,1
06/18/2012 12:07,06/18/2012 12:13,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,3,36,0,0,0,1
06/18/2012 12:07,06/18/2012 12:13,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,2,0,0,0,0,1
06/18/2012 12:07,06/18/2012 12:13,1,FAST FMS,030074,IR-15,Spring Mountain Rd Intch.,Sahara Av Intch.,,4,1,0,0,0,0,1
